Application,How to Access,Total Unit Running Time,Subject,Experience 1 Title,Experience 1 Type,Experience 1 Run Time,Experience 1 Standards,Experience 1 Description,Experience 2 Title,Experience 2 Type,Experience 2 Run Time,Experience 2 Standards,Experience 2 Description,Experience 3 Title,Experience 3 Type,Experience 3 Run Time,Experience 3 Standards,Experience 3 Description,Experience 4 Title,Experience 4 Type,Experience 4 Run Time,Experience 4 Standards,Experience 4 Description,Experience 5 Title,Experience 5 Type,Experience 5 Run Time,Experience 5 Standards,Experience 5 Description
Fiery Fiasco Up in Flames,ArborXR,25-35 minutes,Physical Science,Backyard Bonfire,VR Field Trip,6:08,MS-PS1-2 MS-PS1-5,Join VVR Host Steve Grubbs on a backyard excursion as he demonstrates a couple of different\nchemical reactions through fire and toasting marshmallows. His controlled firepit burn exemplifies the\nlaw of mass conservation while reinforcing fire safety.,Boulder Roll,Interactive Experience,Self-paced,,Learners stand atop a snowy peak on the VictoryVR Mountain as ogres charge up toward them.\nBy rolling boulders down the hill the ogres are vanquished allowing students to earn more time\nto make it to the finish. Rolling boulders is easy but to get enough of them to conquer the ogres\nstudents must correctly respond to rapid-fire questions based on the unit.,Mario Molina,Virtual Comic Book,Self-paced*,,Topics Covered \n• Biography of chemist Mario Molina\n• Molina’s research with lasers\n• Molina’s discovery of CFCs impact on the environment,When Molecules Meet,Journey,Self-paced,MS-PS1-5,Topics Covered\n• Distinction between protons electrons \n neutrons\n• 4 types of chemical reaction\n• Endothermic vs. exothermic,Flame Testing with Wendy,360 Video,5:28,MS-PS1-6,Topics Covered\n• Flame testing demo of different metals\n• Concept of thermal energy transfer
Food Around The World The Good The Bad The Stinky,ArborXR,30-40 minutes,Biology 2,Photosynthesis Around The States,VR Field Trip,6:31,HS-LS1-5,Traverse a few different geographic regions across the United States with VVR Host Jim Kent. Stopping in the very\ndiverse climates of Washington Louisiana and Minnesota as well as a botanical garden in Iowa students will\nlearn about conifers vs. flowering trees as well as how the process of photosynthesis varies from place to place.,Clouds Over Yonder,Interactive Experience,Self-paced,,Students control their flight through the sky while diving through rings as the way to select correct answers to\nquestions posed in the clouds. Leaning forward and slightly turning their body allows students to control their\nflight speed and direction avoiding abstract hazards in the atmosphere as they recall information they learned\nwhile completing other pieces of this unit.,What A Tangled Food Web,2D Video,4:52,HS-LS2-4,Topics Covered \n• Organism energy transfer\n• Food web structure\n• Cycling of matter & energy,Sugar: The Origin Story,2D Video,5:45,HS-LS1-5 HS-LS1-6 HS-LS1-7 HS-LS2-4,Topics Covered\n• Composition of ATP & ADP\n• Process of photosynthesis\n• Energy transfer,Fermentation With Wendy,360 Video,8:46,HS-LS1-7,Topics Covered\n• Aerobic vs. anaerobic respiration\n• Cellular inputs & outputs in fermented food
Forecasting Disaster,ArborXR,35-45 minutes,Earth & Space Science,Scott County Landfill,VR Field Trip,9:04,MS-ESS3-3,Find yourself immersed in the Scott County landfill with VictoryVR Host Steve Grubbs as you learn about\nthe impact of garbage on our environment. Answering questions such as Where does the garbage go?\nand What shouldn’t be thrown in the trash? are just a couple of concepts covered in this trip to the dump.,Banana Breakout,Interactive Experience,Self-paced,,Banana Breakout is similar to a traditional single-player pong game but in this version the student\naims a bunch of bananas at correct answers to a proposed question. Monkeys hold the correct\nresponses and if fed will increase the student’s score. Tigers hold incorrect answers and if they\nreceive the bananas the student’s score will decrease. Students begin with 3 lives only losing one\neach time they miss catching the bananas. The goal of this interactive game is to play through as\nmany levels of increasing speed before all lives are lost building a maximum score.,The Life & Times of John Dalton,Virtual Comic Book,Self-paced*,MS-ESS2-5,Topics Covered \n• Biography of John Dalton\n• Meteorology and color-blindness research,Climate Change,2D Video,8:18,MS-ESS3-5,Topics Covered\n• Cause and effect of greenhouse gases \n• Natural vs. man-made causes of climate change\n• Humans impact on the environment,Blizzards with Wendy,360 Video,9:06,MS-ESS2-5,Topics Covered\n• Science behind conditions of snowstorms\n• Great Blizzard of 1978\n• Effects of storms on society
Getting Cheesy in VR Exploring Biochemistry,ArborXR,30-40 minutes,Physical Science,Henning’s Cheese Factory,VR Field Trip,7:11,HS-PS1-5,Check out one of the largest cheese blocks in the world--4000 lbs--with VictoryVR Host Steve\nGrubbs as he takes you inside of this Wisconsin cheese factory. Learn about the importance of\nenzymes and the pH scale when crafting the curds as well as the entire chemical process of turning\ncow’s milk into this tasty treat.,Neon Pulse,Interactive Experience,Self-paced,,Fashioned in a 1980s aesthetic this interactive game allows students to choose their racing level and\nthen maneuver their vehicles while answering questions based on unit content. Physics-based driving\ncontrols and track design seamlessly blend learning and gaming along the colorful routes. Shortcut\nopportunities embedded in the tracks are awarded for skilled driving and quick thinking.,Pasteur & Roux: Vaccinating the Masses,Journey,Self-paced*,HS-PS2-6,Topics Covered \n• Fields of study Louis Pasteur & Emile Roux\n• Purpose & process of vaccination\n• Concepts of pasteurization & sterilization,Solar Flares & CMEs,2D Video,6:30,HS-PS1-5,Topics Covered\n• 4 States of Matter\n• Impact of geomagnetic storms,Laughing Gas With Wendy,360 Video,8:57,HS-PS2-6,Topics Covered\n• Characteristics of proteins\n• Neurotransmitters GABA & NMDA\n• The structure & function of Nitrous Oxide
In The Arena Human Expansion,ArborXR,30-40 minutes,Biology 2,Urbanization,VR Field Trip,6:14,HS-LS2-7,With two big cities--Chicago and Hong Kong as distinct backdrops VVR Host Steve Grubbs stands amid the\nskyscrapers to discuss anthropogenic changes that cause challenges to our environment. Issues related to urbanization\nare ever-growing and this field trip shows how big cities are implementing solutions to lessen the negative\nimpacts on such growth.,Neon Pulse,Interactive Experience,Self-paced,LS3-1,Fashioned in a 1980s aesthetic this interactive game allows students to choose their racing level and then maneuver their vehicle while answering questions based on unit content. Physics-based driving controls and track\ndesign seamlessly blend learning and gaming along the colorful routes. Shortcut opportunities embedded in the\ntracks are awarded for skilled driving and quick thinking.,Maintaining Ecosystem Balance,2D Video,7:10,HS-LS2-1 HS-LS2-6,Topics Covered \n• Oppositional vs. symbiotic relationships\n• Ecosystem imbalances\n• Concept of homeostasis,Group Mentality,2D Video,6:51,HS-LS2-8,Topics Covered\n• Theory & benefits of group living\n• Hierarchies of groups\n• Different types of social behaviors,Ecological Succession With Wendy,360 Video,8:17,HS-LS2-2,Topics Covered\n• The role of carbon & the carbon cycle\n• 5 stages of succession
Land of Giants,ArborXR,25-35 minutes,Earth & Space Science,Muir Woods National Monument CA,VR Field Trip,4:19,MS-ESS3-4,North of San Francisco deep in the Muir Woods Steve Grubbs VVR Host talks about the\ninterdependence of humans and plants. Stand amid the giant Redwoods while learning about the\ncharacteristics of these ancient trees as well as how they impact climate change.,Banana Breakout,Interactive Experience,Self-paced,,Banana Breakout is similar to a traditional single-player pong game but in this version the student\naims a bunch of bananas at correct answers to a proposed question. Monkeys hold the correct\nresponses and if fed will increase the student’s score. Tigers hold incorrect answers and if they\nreceive the bananas the student’s score will decrease. Students begin with 3 lives only losing one\neach time they miss catching the bananas. The goal of this interactive game is to play through as\nmany levels of increasing speed before all lives are lost building a maximum score.,Career Day,2D Video,6:54,MS-ESS3-2,Topics Covered \n• Role of a meteorologist\n• Causes and effects of tornadoes,Towns: Dark & Quiet,2D Video,6:54,MS-ESS3-3,Topics Covered\n• Darwin’s experiences and discoveries aboard the\n HMS Beagle\n• Darwin’s theories of natural selection and evolution,Weather with Wendy,360 Video,6:20,MS-ESS3-2,Topics Covered\n• Weather vs. climate\n• Inside of the National Weather Center\n• Overview of hurricanes tornadoes floods blizzards
Lunar Learning and Earthly Rocks,ArborXR,35-45 minutes,Earth & Space Science,Wildcat Den State Park,VR Field Trip,4:53,HS-ESS2-5,From inside of a large gorge meet up with VVR Host Steve Grubbs to learn about frost wedging and water\nerosion. From various vantages around this state park students will learn and witness how the hydrologic and rock\ncycles interact to alter Earth’s surfaces.,Trickybeard’s Challenge,Interactive Experience,Self-paced,,Deep in Trickybeard’s fiery lair treasure chests are arranged in a circular pattern and are color-coded. Each hue\nsignifies a different element within the unit. Students will match the chests that identify a common relationship\nbetween the contents of the respective darker and lighter chests. A color legend is provided to keep students on track.,Earth’s Interior & Thermal Convection,2D Video,7:08,HS-ESS2-3,Topics Covered \n• Layers of Earth & their characteristics\n• Causes of core heat\n• Plate tectonics demonstrated,Water & Rocks: Opposites Attract,2D Video,7:10,HS-ESS2-5,Topics Covered\n• H2O’s impact on Earth & surface processes\n• Concepts of mass wasting breccia and pahoehoe,Sustainable Forests With Wendy,360 Video,9:31,HS-ESS2-6,Topics Covered\n• Importance of carbon recycling\n• Sustainable forestry
Masters of Design,ArborXR,30-40 minutes,Engineering Design,The Great Wall of China,VR Field Trip,5:25,HS-ETS1-1 HS-ETS1-4,Learn about one of the greatest engineering design feats while standing atop The Great Wall of\nChina with VVR Host Steve Grubbs. Amid spectacular views and an aerial flyover gain a better\nunderstanding of the history of The Great Wall as well as the design constraints and challenges\nof its construction.,Clouds Over Yonder,Interactive Experience,Self-paced,,Students control their flight through the sky while diving through rings as the way to select correct\nanswers to questions posed in the clouds. Leaning forward and slightly turning their body allows\nstudents to control their flight speed and direction avoiding abstract hazards in the atmosphere\nwhile recalling information they learned completing other pieces of this unit.,How Power Plants Got Sparked,2D Video,Self-paced*,HS-ETS1-4 HS-PS3-3,Topics Covered \n• Power plant function then & now\n• Edison’s & Johnson’s invention\n• 3 main parts of power plants,Solar Cars,2D Video,7:23,HS-ETS1-4 HS-PS4-5,Topics Covered\n• How solar power works\n• Solar car race requirements,Snowmaking With Wendy,360 Video,8:22,HS-ETS1-4,Topics Covered\n• Constraints & solutions for snow production\n• Mechanics of a snow gun
Mechanized Mania,ArborXR,30-40 minutes,Physics,Rube Goldberg Machine,VR Field Trip,6:24,HS-PS2-1 HS-PS3-3,Assemble a Rube Goldberg Machine with VVR Host Steve Grubbs while gaining a better understanding of the\nmechanics of the device. At different stages of the build students will learn about energy transfer in a fun and\neasy to understand way while seeing Newton’s 3 Laws of Motion carried out.,Neon Pulse,Interactive Experience,Self-paced,LS3-1,Fashioned in a 1980s aesthetic this interactive game allows students to choose their racing level and then maneuver their vehicle while answering questions based on unit content. Physics-based driving controls and track\ndesign seamlessly blend learning and gaming along the colorful routes. Shortcut opportunities embedded in the\ntracks are awarded for skilled driving and quick thinking.,Newton’s 2nd Law of Bowling,2D Video,4:56,HS-PS2-1,Topics Covered \n• Newton’s 1st & 2nd Laws of Motion\n• Concepts of acceleration force & mass,Brush’s Mill,2D Video,6:07,HS-PS3-3,Topics Covered\n• Mini-biography of Charles Brush\n• Concepts of wind power & hydroelectricity,Imaging With Wendy,360 Video,9:01,HS-PS3-3 HS-PS4-5,Topics Covered\n• Wave behaviors\n• Purpose & function of MRI CT scan & X-ray
My Address is Earth,ArborXR,30-40 minutes,Earth & Space Science,Muir Woods National Monument CA,VR Field Trip,3:40,5-ESS2-1 5-ESS3-1,VVR Host Steve Grubbs stands among the giant Redwood trees on the west coast and highlights\ntheir characteristics. Additionally a brief background on Muir Woods as well as the history of the\nparkland dedication are told during this excursion.,Escape Castle,Interactive Experience,Self-paced,,Learners start deep in the VictoryVR Castle which rests on a remote island. The goal is to escape the\ncastle and reach the outside but at each door stands a troll blocking the exit. To make it past the troll\nin each room students accurately respond to a question or puzzle. An incorrect answer provides\nstudents another opportunity at the prompt. After three wrong responses the game resets.,Sea & Sky,2D Video,5:30,5-ESS2-1 5-ESS2-2,Topics Covered \n• Characteristics of the different atmospheric layers\n• Composition of the hydrosphere\n• Freshwater vs. saltwater,Where We Live,2D Video,6:00,5-ESS2-01,Topics Covered\n• Characteristics and importance of the\n biosphere and geosphere biomes\n• Protecting the environment,Cleaning Water with Wendy,360 Video,10:01,5-ESS3-1,Topics Covered\n• Process of cleaning water\n• 3 main phases of water treatment
Mysteries and Mansions,ArborXR,35-45 minutes,Biology: Life Science,Soda Pop “Murder” Mystery Part 1,VR Field Trip,5:33,HS-LS1-1 HS-LS3-3,Become a sleuth alongside VVR Host Steve Grubbs as he collects DNA from a crime scene while working to\nsolve a “murder” that occurred in his home. Learn about the different types of evidence and collection methods\nwhile gathering clues.,Clouds Over Yonder,Interactive Experience,Self-paced,,Students control their flight through the sky while diving through rings as the way to select correct answers to\nquestions posed in the clouds. Leaning forward and slightly turning their body allows students to control their\nflight speed and direction avoiding abstract hazards in the atmosphere while recalling information they learned\ncompleting other pieces of this unit.,The 13 Donuts,2D Video,7:57,HS-LS1-3,Topics Covered \n• Concepts of homeostasis\n• Examples of positive feedback mechanisms,Game of Traits,Virtual Comic Book,Self-paced,HS-LS3-1,Topics Covered\n• Dominant vs. Recessive traits\n• Factors that cause variation\n• Inheritable genetic variation & gene flow,Soda Pop “Murder” Mystery Part 2,360 Video,9:44,HS-LS1-1 HS-LS3-3,Topics Covered\n• Lab analysis of fingerprints\n• Fingerprint features
Natures Neighborhoods,ArborXR,25-35 minutes,Biology: Life Science,Quad City Botanical Center IL,VR Field Trip,4:36,5-LS2-1,VVR Host Steve Grubbs takes students inside the Quad City Botanical Center to talk about ecosystems\nand the interdependence of humans and plants. Surrounded by lush flora and standing inches\naway from the koi pond Steve addresses the movement of matter among living organisms.,Boulder Roll,Interactive Experience,Self-paced,,Learners stand atop a virtual hill in the VictoryVR Valley as ogres charge up toward them.\nBy rolling boulders down the hill the ogres are pushed back allowing students to earn more time.,Energy & Matter,2D Video,5:08,5-LS2-1 5-PS3-1,Topics Covered \n• Concepts of photosynthesis and plant respiration\n• Producers vs. consumers\n• Carnivores decomposers herbivores omnivores,Endangered Species,2D Video,5:23,,Topics Covered\n• Concepts of ecosystems endangered species extinction\n• Highlights of regulation and legislation to\n help address preservation issues,Hydroponic Farming with Wendy,360 Video,8:55,5-LS1-1 5-LS2-1,Topics Covered\n• Plants’ needs without soil\n• Benefits and purpose of hydroponic farming
Newtons House of Forces,ArborXR,30-40 minutes,Physics,Concussion Testing At Purdue,VR Field Trip,7:50,HS-PS2-2 HS-PS2-3,Distinguish between a concussion and subconcussive forces while visiting the Biomedical & Mechanical Engineering Lab at Purdue University. VictoryVR’s host Jim Kent along with Professor Talavage and Professor Nauman demonstrate drop tower testing and reveal the latest findings in force reduction for optimal helmet design.,Force Field,Interactive Experience,Self-paced,,Students enter the carnival-like arena for their chance to experience physics in a whole new way. Four different booths allow students to interact with and demonstrate Newton’s 1st 2nd and 3rd Laws of Motion as well as Coulomb’s Law. By tossing balls and crates with a simple turn of their head students witness the effects of mass and acceleration on an object’s movement within an environment free of gravity and friction.,Isaac Newton Pool Shark,2D Video,5:13,HS-PS2-1 HS-PS2-2,Topics Covered \n• Newton’s 2nd & 3rd Laws of Motion\n• The geometry of billiards\n• Concepts of net force and energy transfer,Struck By Lightning,2D Video,6:08,HS-PS2-4,Topics Covered\n• Coulomb’s Law in context\n• Causes of lightning\n• Concepts of streamers & step leaders,Transforming With Wendy,360 Video,6:09,HS-PS2-5,Topics Covered\n• AC vs DC\n• How a Tesla Coil functions
